m_lastLapTime,m_currentLapTime,m_bestLapTime,m_sector1Time,m_sector2Time,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_sector,m_currentLapInvalid,m_penalties,m_gridPosition,m_driverStatus
0,39.90318298339844,0,0,0,-1431.404541015625,-1431.404541015625,0,8,1,0,1,0,0,19,3,2
0,39.92243194580078,0,0,0,-1430.18701171875,-1430.18701171875,0,8,1,0,1,0,0,19,3,2
0,40.0340461730957,0,0,0,-1423.070556640625,-1423.070556640625,0,8,1,0,1,0,0,19,3,2
0,40.1275520324707,0,0,0,-1417.004638671875,-1417.004638671875,0,8,1,0,1,0,0,19,3,2
0,40.2437629699707,0,0,0,-1409.39306640625,-1409.39306640625,0,8,1,0,1,0,0,19,3,2
0,40.35675048828125,0,0,0,-1402.000732421875,-1402.000732421875,0,8,1,0,1,0,0,19,3,2
0,40.46723556518555,0,0,0,-1394.70361328125,-1394.70361328125,0,8,1,0,1,0,0,19,3,2
0,40.559120178222656,0,0,0,-1388.56103515625,-1388.56103515625,0,8,1,0,1,0,0,19,3,2
0,40.66849136352539,0,0,0,-1381.180419921875,-1381.180419921875,0,8,1,0,2,0,0,19,3,2
0,40.7611083984375,0,0,0,-1374.8671875,-1374.8671875,0,8,1,0,2,0,0,19,3,2
0,40.87153625488281,0,0,0,-1367.320068359375,-1367.320068359375,0,8,1,0,2,0,0,19,3,2
0,40.964210510253906,0,0,0,-1361.232421875,-1361.232421875,0,8,1,0,2,0,0,19,3,2
0,41.075538635253906,0,0,0,-1354.346923828125,-1354.346923828125,0,8,1,0,2,0,0,19,3,2
0,41.16718292236328,0,0,0,-1349.04248046875,-1349.04248046875,0,8,1,0,2,0,0,19,3,2
0,41.278099060058594,0,0,0,-1342.908935546875,-1342.908935546875,0,8,1,0,2,0,0,19,3,2
0,41.36963653564453,0,0,0,-1337.848388671875,-1337.848388671875,0,8,1,0,2,0,0,19,3,2
0,41.4791374206543,0,0,0,-1331.903076171875,-1331.903076171875,0,8,1,0,2,0,0,19,3,2
0,41.586647033691406,0,0,0,-1326.02978515625,-1326.02978515625,0,8,1,0,2,0,0,19,3,2
0,41.67601013183594,0,0,0,-1321.096435546875,-1321.096435546875,0,8,1,0,2,0,0,19,3,2
0,41.80113983154297,0,0,0,-1314.397216796875,-1314.397216796875,0,8,1,0,2,0,0,19,3,2
0,41.88943099975586,0,0,0,-1309.65380859375,-1309.65380859375,0,8,1,0,2,0,0,19,3,2
0,41.996673583984375,0,0,0,-1303.991943359375,-1303.991943359375,0,8,1,0,2,0,0,19,3,2
0,42.086246490478516,0,0,0,-1299.202392578125,-1299.202392578125,0,8,1,0,2,0,0,19,3,2
0,42.21112060546875,0,0,0,-1292.406982421875,-1292.406982421875,0,8,1,0,2,0,0,19,3,2
0,42.298744201660156,0,0,0,-1287.6015625,-1287.6015625,0,8,1,0,2,0,0,19,3,2
0,42.40446472167969,0,0,0,-1281.88525390625,-1281.88525390625,0,8,1,0,2,0,0,19,3,2
0,42.50965881347656,0,0,0,-1276.151123046875,-1276.151123046875,0,8,1,0,2,0,0,19,3,2
0,42.5993537902832,0,0,0,-1271.220458984375,-1271.220458984375,0,8,1,0,2,0,0,19,3,2
0,42.70595169067383,0,0,0,-1265.248046875,-1265.248046875,0,8,1,0,2,0,0,19,3,2
0,42.813270568847656,0,0,0,-1259.079833984375,-1259.079833984375,0,8,1,0,2,0,0,19,3,2
0,42.91990280151367,0,0,0,-1252.950439453125,-1252.950439453125,0,8,1,0,2,0,0,19,3,2
0,43.02834701538086,0,0,0,-1246.795166015625,-1246.795166015625,0,8,1,0,2,0,0,19,3,2
0,43.1337776184082,0,0,0,-1240.697998046875,-1240.697998046875,0,8,1,0,2,0,0,19,3,2
0,43.2234992980957,0,0,0,-1235.375,-1235.375,0,8,1,0,2,0,0,19,3,2
0,43.33156967163086,0,0,0,-1229.025634765625,-1229.025634765625,0,8,1,0,2,0,0,19,3,2
0,43.438419342041016,0,0,0,-1222.71826171875,-1222.71826171875,0,8,1,0,2,0,0,19,3,2
0,43.547794342041016,0,0,0,-1216.396240234375,-1216.396240234375,0,8,1,0,2,0,0,19,3,2
0,43.65189743041992,0,0,0,-1210.23291015625,-1210.23291015625,0,8,1,0,2,0,0,19,3,2
