m_worldPositionX,m_worldPositionY,m_worldPositionZ,m_worldVelocityX,m_worldVelocityY,m_worldVelocityZ,m_worldForwardDirX,m_worldForwardDirY,m_worldForwardDirZ,m_worldRightDirX,m_worldRightDirY,m_worldRightDirZ,m_gForceLateral,m_gForceLongitudinal,m_gForceVertical,m_yaw,m_pitch
-148.28494262695312,-21.92610740661621,-119.12085723876953,33.77175521850586,-5.911524772644043,54.515655517578125,5187,21236,24940,24467,29955,39747,-0.02385423332452774,-3.632934808731079,-1.1827642917633057,0.553200900554657,0.0711367130279541,-0.02701636403799057
-147.64694213867188,-22.03933334350586,-118.08908081054688,33.435325622558594,-6.019526481628418,54.17603302001953,1603,7924,25708,23699,41219,37955,-0.5537223815917969,-2.435058355331421,-0.8253369331359863,0.5527903437614441,0.07312679290771484,-0.028380220755934715
-143.9420166015625,-22.65920066833496,-112.04339599609375,33.495948791503906,-5.33773946762085,54.70664978027344,17474,11509,63596,55442,38915,48450,-0.40822046995162964,0.5645340085029602,-0.04288409650325775,0.5456117391586304,0.06806886196136475,-0.02808193489909172
-140.79238891601562,-23.169729232788086,-106.88495635986328,33.67046356201172,-5.473189830780029,55.18373489379883,21570,28661,62828,52114,26626,46658,0.049476779997348785,0.5156862139701843,0.42255693674087524,0.5458109974861145,0.05909550189971924,-0.018818188458681107
-136.83660888671875,-23.77185821533203,-100.4146499633789,34.1104621887207,-5.190489768981934,55.63993835449219,45122,4086,52076,64146,6146,1347,0.1707402765750885,0.5191131830215454,-0.18605941534042358,0.5489672422409058,0.054631948471069336,-0.016383610665798187
-132.9737548828125,-24.341032028198242,-94.13886260986328,34.614723205566406,-4.778413772583008,56.01523208618164,8515,34038,36972,16531,26114,29763,0.2082141935825348,0.49184268712997437,0.5166488885879517,0.5530323386192322,0.054991722106933594,-0.018757063895463943
-129.15411376953125,-24.885740280151367,-87.94259643554688,34.82777404785156,-5.043523788452148,56.580196380615234,60482,38902,45932,7059,12290,15171,-0.11005997657775879,0.6018613576889038,0.18484625220298767,0.5510585308074951,0.05318129062652588,-0.017116762697696686
-125.9482192993164,-25.332494735717773,-82.7209701538086,34.97710418701172,-4.731980323791504,57.13665008544922,36674,62710,62572,57746,21250,56130,-0.20586663484573364,0.5792188048362732,0.24569401144981384,0.5477073192596436,0.05241501331329346,-0.018163219094276428
-122.11316680908203,-25.84656524658203,-76.43641662597656,35.153053283691406,-4.661649227142334,57.749488830566406,17218,19447,10605,44690,12802,35138,-0.12310079485177994,0.56134432554245,0.20447379350662231,0.5449159145355225,0.05004560947418213,-0.017175203189253807
-118.83975982666016,-26.25714874267578,-71.05658721923828,35.44463348388672,-4.197509288787842,58.1906852722168,22850,5624,11117,46738,13826,38210,0.17707157135009766,0.5356380939483643,0.33442503213882446,0.5456030368804932,0.046949028968811035,-0.01728304848074913
-114.90633392333984,-26.687620162963867,-64.63732147216797,35.33131408691406,-3.5448529720306396,57.218379974365234,10563,45048,46700,13459,26882,24643,0.6082832217216492,-3.689889907836914,0.16117751598358154,0.5530303120613098,0.0461353063583374,-0.018855299800634384
-111.67620086669922,-27.005756378173828,-59.49288558959961,34.49881362915039,-3.2831122875213623,53.79202651977539,69,63224,37739,21396,44033,11589,1.6032246351242065,-3.6150197982788086,0.13237977027893066,0.5698827505111694,0.04073381423950195,-0.013074287213385105
-107.87576293945312,-27.36851692199707,-53.760772705078125,34.14115524291992,-3.2129852771759033,49.559261322021484,16969,49144,46184,10903,4353,27721,2.291492462158203,-3.460261106491089,0.07652368396520615,0.609918475151062,0.03935575485229492,-0.008353905752301216
-104.70124816894531,-27.6544189453125,-49.34412384033203,34.72507858276367,-2.9869730472564697,46.25023651123047,62797,249,18021,38810,24320,5966,2.822080135345459,-2.327941656112671,0.12985427677631378,0.6553776860237122,0.0356827974319458,-0.0029044889379292727
-100.76416778564453,-27.965646743774414,-44.39944076538086,36.6393928527832,-2.6379005908966064,43.382572174072266,2388,53497,22624,35231,52991,8276,3.14176344871521,-0.630898118019104,0.2919817268848419,0.7166525721549988,0.030620455741882324,0.0015529422089457512
-97.31189727783203,-28.198558807373047,-40.5146598815918,38.35810089111328,-2.3906702995300293,41.02271270751953,64088,24058,54875,3748,20735,2649,3.2330126762390137,-0.6267518401145935,0.2975826561450958,0.7690032720565796,0.02678227424621582,0.005389716010540724
-93.03987121582031,-28.44575309753418,-36.214107513427734,40.22110366821289,-2.181938648223877,38.13405227661133,38750,53498,4694,54953,11775,42334,3.2700605392456055,-0.6267419457435608,0.19199754297733307,0.8319889903068542,0.02564871311187744,0.006439731922000647
-88.62059783935547,-28.666460037231445,-32.276817321777344,41.82963180541992,-2.1236722469329834,35.247676849365234,52323,50426,63823,61615,12031,56419,2.503139019012451,-0.5777208805084229,-0.6607359051704407,0.8946815729141235,0.027910470962524414,0.006425492465496063
-84.82317352294922,-28.882728576660156,-29.21379852294922,42.909568786621094,-2.4583468437194824,32.86945343017578,54631,20730,41034,17589,3071,59495,3.6954843997955322,-0.6596457958221436,0.3991759121417999,0.9469298720359802,0.031716227531433105,0.007483756635338068
-79.37930297851562,-29.114721298217773,-25.411468505859375,44.722412109375,-1.6408437490463257,28.768938064575195,7533,36603,49730,13501,2304,11885,2.761920690536499,-0.5890436768531799,-0.43216472864151,1.021458387374878,0.02979564666748047,-0.0003051563398912549
-75.36590576171875,-29.291093826293945,-22.94485092163086,45.395450592041016,-2.166147470474243,26.48641014099121,29296,50426,59964,2499,1024,35440,3.2893195152282715,-0.6402842402458191,-0.01190838310867548,1.0739719867706299,0.036049842834472656,-0.0001235399831784889
-70.43418884277344,-29.471845626831055,-20.321155548095703,46.7424201965332,-1.1845790147781372,22.6171932220459,15220,38396,32309,32458,8960,18036,3.569230556488037,-0.15226800739765167,0.6963203549385071,1.1393474340438843,0.024731755256652832,-0.0010746539337560534
-66.2001724243164,-29.594226837158203,-18.3882999420166,47.461822509765625,-1.7971868515014648,20.669153213500977,49270,28923,35119,30672,61184,54902,1.9279893636703491,-0.09232468903064728,-1.2205690145492554,1.190040111541748,0.035848140716552734,-0.007322563324123621
-60.21969223022461,-29.82317352294922,-16.041133880615234,48.83068084716797,-1.338847041130066,16.735551834106445,52601,25852,11047,53976,15360,55929,3.8852298259735107,0.014666099101305008,1.1530476808547974,1.2595806121826172,0.027430295944213867,-0.0018571278778836131
-55.89835739135742,-29.924762725830078,-14.692578315734863,49.658817291259766,-1.1563063859939575,14.169519424438477,37499,63996,14369,52446,65024,40059,2.8395471572875977,0.12185443937778473,-0.1565456986427307,1.3082950115203857,0.024866342544555664,-0.007780801970511675
-50.617698669433594,-30.048282623291016,-13.353574752807617,50.53738021850586,-1.1987460851669312,11.282177925109863,19837,56060,61209,5862,6145,22141,2.8779125213623047,0.22871768474578857,-0.07989838719367981,1.3668341636657715,0.025828957557678223,-0.008558759465813637
-45.22868728637695,-30.16322135925293,-12.329354286193848,51.42634963989258,-0.7960326075553894,8.052295684814453,43646,3326,18706,48109,12289,44670,3.2949821949005127,0.4030539095401764,0.7751457691192627,1.4275466203689575,0.016455411911010742,-0.009291104972362518
-40.57468032836914,-30.21854591369629,-11.725183486938477,52.11500930786133,-0.5881912708282471,5.5043463706970215,29055,26110,50443,16628,36097,29311,2.7853972911834717,0.47213342785835266,-0.06520035117864609,1.478851318359375,0.013616681098937988,-0.012122463434934616
-34.98665237426758,-30.27699089050293,-11.303786277770996,52.841468811035156,-0.4362161457538605,2.3685014247894287,61055,58622,60163,6396,15873,61055,3.0984888076782227,0.552670955657959,0.2565840184688568,1.5402458906173706,0.008967280387878418,-0.009722060523927212
-29.272180557250977,-30.337608337402344,-11.20792007446289,53.43571853637695,-0.7201170921325684,-0.5817630887031555,60287,18942,65275,1796,33793,60543,3.050142288208008,0.7049038410186768,-0.03736722841858864,1.6022837162017822,0.013041853904724121,-0.01186323817819357
-23.5042781829834,-30.374465942382812,-11.479379653930664,53.919498443603516,0.025029480457305908,-4.388095378875732,26495,48639,47859,18188,44289,25727,3.224168300628662,0.6957972645759583,0.3970196545124054,1.6668823957443237,0.0007815361022949219,-0.013122644275426865
-17.694808959960938,-30.384843826293945,-12.119831085205078,54.065650939941406,-0.1306794434785843,-7.6077880859375,22910,51967,36331,29716,51969,22142,3.4938480854034424,0.3809969425201416,0.3694564998149872,1.7312800884246826,-0.0005878210067749023,-0.014038674533367157
-12.012145042419434,-30.35944366455078,-13.126112937927246,53.72006607055664,0.5105432271957397,-11.343520164489746,51836,56832,36323,28188,20738,50812,3.2551608085632324,0.3716040551662445,0.25963670015335083,1.7948107719421387,-0.010649800300598145,-0.01811954379081726
-7.17159366607666,-30.314563751220703,-14.278395652770996,53.32636260986328,0.5293115377426147,-14.157681465148926,3195,15361,51676,12579,16898,2683,3.3739521503448486,0.3882281482219696,0.28829240798950195,1.8493565320968628,-0.014135003089904785,-0.01766028068959713
-1.4811573028564453,-30.24185562133789,-15.987963676452637,52.93906021118164,0.7531802654266357,-17.669836044311523,35704,38913,65492,63786,14594,35704,3.102782726287842,0.7353430986404419,0.022320441901683807,1.9132617712020874,-0.017580389976501465,-0.017385143786668777
4.205602169036865,-30.159530639648438,-18.081289291381836,52.39611053466797,0.8898422718048096,-21.18891716003418,37493,1794,29901,34098,60161,38517,3.5282773971557617,0.7672944068908691,0.481899619102478,1.9766401052474976,-0.020487546920776367,-0.015002303756773472
9.8374605178833,-30.02650260925293,-20.58512306213379,51.52953338623047,1.4272041320800781,-24.823108673095703,12914,3,17606,45881,3842,15218,2.9965832233428955,0.7031510472297668,0.06692152470350266,2.0386526584625244,-0.028204679489135742,-0.016097500920295715
15.200703620910645,-29.885971069335938,-23.347261428833008,50.703941345214844,1.3410662412643433,-27.889286041259766,53358,3331,1728,62271,57601,56174,3.219834089279175,0.7408764362335205,0.2240569293498993,2.0942063331604004,-0.02800142765045166,-0.014704074710607529
20.570289611816406,-29.733165740966797,-26.507526397705078,49.5868034362793,1.4926700592041016,-31.080236434936523,11627,15107,6842,57925,28417,14699,3.1769285202026367,0.7091318368911743,0.21750643849372864,2.148627281188965,-0.02727985382080078,-0.011228356510400772
25.762310028076172,-29.556596755981445,-29.97209930419922,48.28898620605469,1.8269891738891602,-34.16749572753906,17255,57091,31156,35659,47360,21095,3.057786226272583,0.6616455316543579,0.23495185375213623,2.2024145126342773,-0.02776777744293213,-0.005656977649778128
30.016782760620117,-29.3951358795166,-33.123573303222656,47.191043853759766,1.762421727180481,-36.515689849853516,51299,53251,61103,6992,4864,54371,2.906052350997925,0.6564302444458008,-0.1400565654039383,2.247256278991699,-0.023626089096069336,-0.0006037772400304675
35.011409759521484,-29.21324920654297,-37.2010498046875,45.70220947265625,1.6169570684432983,-39.29475402832031,17247,32515,38570,30293,3327,18271,2.8964719772338867,0.602899968624115,-0.2309529334306717,2.3020377159118652,-0.015357255935668945,0.0074747223407030106
