m_weather,m_trackTemperature,m_airTemperature,m_totalLaps,m_trackLength,m_sessionType,m_trackId,m_formula,m_sessionTimeLeft,m_sessionDuration,m_pitSpeedLimit,m_gamePaused,m_isSpectating,m_spectatorCarIndex,m_sliProNativeSupport,m_numMarshalZones,m_safetyCarStatus
2,30,21,99,4323,1,17,0,1674,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1674,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1673,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1673,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1672,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1672,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1671,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1671,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1670,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1670,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1669,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1669,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1668,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1668,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1667,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1667,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1666,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1666,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1665,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1665,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1664,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1664,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1663,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1663,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1662,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1662,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1661,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1661,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1660,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1660,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1659,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1659,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1658,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1658,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1657,1800,80,0,0,255,0,13,0,0
2,30,21,99,4323,1,17,0,1657,1800,80,0,0,255,0,13,0,0
